DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,PARANAÍTA,Amazônia,93,0.0,1.0,-9.2933,-56.92888,76.0
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,PARANAÍTA,Amazônia,98,0.0,1.0,-9.28607,-57.06783,56.4
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,PARANAÍTA,Amazônia,94,0.0,1.0,-9.28442,-56.93024,20.0
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,PARANAÍTA,Amazônia,93,0.0,1.0,-9.28183,-56.91228,16.6
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,PARANAÍTA,Amazônia,92,0.0,1.0,-9.28053,-56.90331,37.7
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,PARANAÍTA,Amazônia,98,0.0,1.0,-9.27942,-56.95849,18.3
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,PARANAÍTA,Amazônia,91,0.0,1.0,-9.27923,-56.89434,23.4
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,PARANAÍTA,Amazônia,98,0.0,1.0,-9.27812,-56.94952,75.8
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,96,0.0,1.0,-9.27085,-57.0885,8.6
2024/08/28 18:06:00,AQUA_M-T,Brasil,PARÁ,JACAREACANGA,Amazônia,12,0.0,1.0,-8.35575,-57.65256,13.8
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,82,0.0,1.0,-9.25377,-57.55335,13.4
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,87,0.0,1.0,-9.24553,-57.16601,20.1
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,92,0.0,1.0,-9.23779,-57.11179,9.6
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,94,0.0,1.0,-9.23651,-57.1028,10.1
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,91,0.0,1.0,-9.22201,-57.20375,9.3
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,87,0.0,1.0,-9.20789,-57.1689,10.9
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA MONTE VERDE,Amazônia,16,0.0,1.0,-9.97064,-57.15557,23.8
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA MONTE VERDE,Amazônia,12,0.0,1.0,-9.96933,-57.14646,8.2
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA BANDEIRANTES,Amazônia,87,0.0,1.0,-9.95973,-57.91521,42.6
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA BANDEIRANTES,Amazônia,87,0.0,1.0,-9.95838,-57.90562,49.7
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA BANDEIRANTES,Amazônia,85,0.0,1.0,-9.95057,-57.91652,142.1
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA BANDEIRANTES,Amazônia,85,0.0,1.0,-9.94922,-57.90695,157.3
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA BANDEIRANTES,Amazônia,79,0.0,1.0,-9.9271,-57.94921,13.7
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA BANDEIRANTES,Amazônia,79,0.0,1.0,-9.92576,-57.93964,76.6
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,88,0.0,1.0,-9.68853,-57.4964,7.6
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,88,0.0,1.0,-9.68722,-57.48717,31.9
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,87,0.0,1.0,-9.68591,-57.47793,29.8
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,89,0.0,1.0,-9.68082,-57.50694,49.9
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,89,0.0,1.0,-9.67951,-57.49767,30.0
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,88,0.0,1.0,-9.67821,-57.48848,28.2
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,88,0.0,1.0,-9.6769,-57.47923,25.0
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,PARANAÍTA,Amazônia,65,0.0,1.0,-9.52274,-56.79441,22.4
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,PARANAÍTA,Amazônia,64,0.0,1.0,-9.52144,-56.78545,38.8
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,PARANAÍTA,Amazônia,47,0.0,1.0,-9.49851,-56.75223,29.8
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,PARANAÍTA,Amazônia,49,0.0,1.0,-9.49722,-56.74329,10.2
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,PARANAÍTA,Amazônia,32,0.0,1.0,-9.47705,-56.79205,53.9
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,PARANAÍTA,Amazônia,26,0.0,1.0,-9.46756,-57.04721,45.2
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,PARANAÍTA,Amazônia,25,0.0,1.0,-9.46627,-57.03818,30.5
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,PARANAÍTA,Amazônia,19,0.0,1.0,-9.45866,-57.04856,50.7
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,PARANAÍTA,Amazônia,18,0.0,1.0,-9.45736,-57.03953,21.1
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.59047,-57.49321,10.3
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.53795,-57.44995,34.4
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.53661,-57.44058,26.7
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.53023,-57.46071,94.0
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.5289,-57.45128,229.7
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.52756,-57.44184,31.8
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.42377,-57.68412,21.1
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.42245,-57.67463,28.1
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.41459,-57.68223,18.4
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.34617,-57.46155,37.7
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.3453,-57.58624,88.7
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.34397,-57.57675,52.1
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.33886,-57.60631,15.5
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.33753,-57.59685,14.7
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.33621,-57.58744,142.8
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.33489,-57.57802,26.2
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.32979,-57.60775,9.4
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.32847,-57.59829,6.9
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.326,-57.64697,149.6
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.32467,-57.63747,43.6
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.32336,-57.62807,22.0
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.31923,-57.53242,16.3
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,86,0.0,1.0,-10.31791,-57.52302,32.3
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.31764,-57.64441,165.8
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.30048,-57.58915,69.8
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA BANDEIRANTES,Amazônia,92,0.0,1.0,-10.18564,-57.89384,11.4
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA BANDEIRANTES,Amazônia,76,0.0,1.0,-10.1003,-57.80445,26.9
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA BANDEIRANTES,Amazônia,56,0.0,1.0,-10.07025,-57.78944,17.9
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA MONTE VERDE,Amazônia,13,0.0,1.0,-10.02736,-57.15948,27.3
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA MONTE VERDE,Amazônia,26,0.0,1.0,-10.02623,-57.21565,23.3
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA MONTE VERDE,Amazônia,12,0.0,1.0,-10.02606,-57.15038,67.0
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA MONTE VERDE,Amazônia,12,0.0,1.0,-10.02475,-57.14123,16.3
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA MONTE VERDE,Amazônia,15,0.0,1.0,-10.01842,-57.16083,41.9
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA MONTE VERDE,Amazônia,12,0.0,1.0,-10.01711,-57.15169,80.6
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA BANDEIRANTES,Amazônia,12,0.0,1.0,-9.52346,-57.89287,46.1
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA BANDEIRANTES,Amazônia,12,0.0,1.0,-9.5103,-57.86583,27.2
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,13,0.0,1.0,-9.45014,-57.76879,8.8
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,13,0.0,1.0,-9.44882,-57.75941,35.4
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,12,0.0,1.0,-9.42278,-57.70591,26.3
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,12,0.0,1.0,-9.4175,-57.66839,45.7
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,12,0.0,1.0,-9.4162,-57.65916,57.8
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,12,0.0,1.0,-9.41373,-57.70723,27.5
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,12,0.0,1.0,-9.41023,-57.74184,13.0
